"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","06 Aug 2024","50436.9","50688.8","49659.05","49748.30"
"NIFTY BANK","05 Aug 2024","50586.25","50747.55","49719.1","50092.10"
"NIFTY BANK","02 Aug 2024","51172.25","51608.7","51087.85","51350.15"
"NIFTY BANK","01 Aug 2024","51672.6","51877.15","51456.2","51564.00"
"NIFTY BANK","31 Jul 2024","51583.45","51663.1","51335.7","51553.40"
"NIFTY BANK","30 Jul 2024","51383.9","51957.75","51260.05","51499.30"
"NIFTY BANK","29 Jul 2024","51546.65","52340.25","51186.95","51406.25"
"NIFTY BANK","26 Jul 2024","50456.1","51398.6","50438.3","51295.95"
"NIFTY BANK","25 Jul 2024","50762.3","51006.1","50559.9","50888.75"
"NIFTY BANK","24 Jul 2024","51657.65","51944.65","50784.25","51317.00"
"NIFTY BANK","23 Jul 2024","52511","52547.55","51342.65","51778.30"
"NIFTY BANK","22 Jul 2024","52145.6","52427","51874.55","52280.40"
"NIFTY BANK","19 Jul 2024","52531.55","52586.75","52146.3","52265.60"
"NIFTY BANK","18 Jul 2024","52215.05","52782.75","52168.65","52620.70"
"NIFTY BANK","16 Jul 2024","52466.7","52619.05","52331.6","52396.80"
"NIFTY BANK","15 Jul 2024","52330.05","52662.25","52154","52455.90"
"NIFTY BANK","12 Jul 2024","52272.65","52794.55","52171.15","52278.90"
"NIFTY BANK","11 Jul 2024","52316.9","52400.3","51749.45","52270.65"
"NIFTY BANK","10 Jul 2024","52528.8","52528.8","52075.4","52189.30"
"NIFTY BANK","09 Jul 2024","52390.5","52626.6","52292.95","52568.80"
"NIFTY BANK","08 Jul 2024","52533.1","52710.8","52246.7","52425.80"
"NIFTY BANK","05 Jul 2024","52560.1","52817.85","52290.05","52660.35"
"NIFTY BANK","04 Jul 2024","53357.7","53357.7","52815.9","53103.70"
"NIFTY BANK","03 Jul 2024","52872.3","53256.7","52482.65","53089.25"
"NIFTY BANK","02 Jul 2024","52793.75","52828.45","51996.65","52168.10"
"NIFTY BANK","01 Jul 2024","52351.15","52656.15","52166.05","52574.75"
"NIFTY BANK","28 Jun 2024","52874.95","53030.3","52242.3","52342.25"
"NIFTY BANK","27 Jun 2024","52980.3","53180.75","52639","52811.30"
"NIFTY BANK","26 Jun 2024","52653.2","52988.3","52373.7","52870.50"
"NIFTY BANK","25 Jun 2024","51759.45","52746.5","51747.65","52606.00"
"NIFTY BANK","24 Jun 2024","51280.25","51783.95","51138.9","51703.95"
"NIFTY BANK","21 Jun 2024","51927.3","51934.35","51224.95","51661.45"
"NIFTY BANK","20 Jun 2024","51712.9","51842.2","51281.5","51783.25"
"NIFTY BANK","19 Jun 2024","50607.9","51957","50441.75","51398.05"
"NIFTY BANK","18 Jun 2024","50194.35","50562.15","49900.2","50440.90"
"NIFTY BANK","14 Jun 2024","49993.95","50102.6","49693.35","50002.00"
"NIFTY BANK","13 Jun 2024","50179","50186.45","49799.65","49846.70"
"NIFTY BANK","12 Jun 2024","49857.45","50233.4","49697.35","49895.10"
"NIFTY BANK","11 Jun 2024","49751.2","49970.3","49530.45","49705.75"
"NIFTY BANK","10 Jun 2024","49808.15","50252.95","49622.75","49780.90"
"NIFTY BANK","07 Jun 2024","49316.95","49943.2","49080.45","49803.20"
"NIFTY BANK","06 Jun 2024","49426.4","49672.75","48906.75","49291.90"
"NIFTY BANK","05 Jun 2024","47486.6","49362.9","46446.8","49054.60"
"NIFTY BANK","04 Jun 2024","50667.05","50667.05","46077.85","46928.60"
"NIFTY BANK","03 Jun 2024","50889.85","51133.2","50092.65","50979.95"
"NIFTY BANK","31 May 2024","48895.15","49122.55","48569.05","48983.95"
"NIFTY BANK","30 May 2024","48313.6","49044.6","48313.6","48682.35"
"NIFTY BANK","29 May 2024","48786.7","49022.6","48401.55","48501.35"
"NIFTY BANK","28 May 2024","49390.9","49511.15","49043.65","49142.15"
"NIFTY BANK","27 May 2024","49105.9","49688.85","49051.25","49281.80"
"NIFTY BANK","24 May 2024","48668","49052.95","48644.8","48971.65"
"NIFTY BANK","23 May 2024","47899.35","48829.7","47873.15","48768.60"
"NIFTY BANK","22 May 2024","48113.9","48114.05","47435.25","47781.95"
"NIFTY BANK","21 May 2024","47927.1","48259.75","47927.1","48048.20"
"NIFTY BANK","18 May 2024","48197.3","48222.35","48108.15","48199.50"
"NIFTY BANK","17 May 2024","47842.95","48188.65","47758.8","48115.65"
"NIFTY BANK","16 May 2024","47945.85","48052.9","47340.35","47977.05"
"NIFTY BANK","15 May 2024","47923.1","47957.2","47534.5","47687.45"
"NIFTY BANK","14 May 2024","47748.85","47937.25","47607.85","47859.45"
"NIFTY BANK","13 May 2024","47389.8","47841.6","46983.25","47754.10"
"NIFTY BANK","10 May 2024","47555.5","47868.7","47313.35","47421.10"
"NIFTY BANK","09 May 2024","47976.35","48258.65","47440.65","47487.90"
"NIFTY BANK","08 May 2024","48124.2","48223.05","47851.15","48021.10"
"NIFTY BANK","07 May 2024","48965.05","49023.5","48213.75","48285.35"
"NIFTY BANK","06 May 2024","49174.55","49252.65","48784","48895.30"
"NIFTY BANK","03 May 2024","49375.05","49607.75","48659.7","48923.55"
"NIFTY BANK","02 May 2024","49262","49529.35","49123.6","49231.05"
"NIFTY BANK","30 Apr 2024","49477.1","49974.75","49249.9","49396.75"
"NIFTY BANK","29 Apr 2024","48359.9","49473.6","48342.7","49424.05"
"NIFTY BANK","26 Apr 2024","48660","48679.65","48088.25","48201.05"
"NIFTY BANK","25 Apr 2024","47772.65","48625.45","47737.2","48494.95"
"NIFTY BANK","24 Apr 2024","48120.9","48246.2","48028.7","48189.00"
"NIFTY BANK","23 Apr 2024","48299.6","48302.7","47899.3","47970.45"
"NIFTY BANK","22 Apr 2024","48145.7","48146.3","47628.45","47924.90"
"NIFTY BANK","19 Apr 2024","46744.95","47668.7","46579.05","47574.15"
"NIFTY BANK","18 Apr 2024","47592.7","47829.75","46982.15","47069.45"
"NIFTY BANK","16 Apr 2024","47436.7","47609","47316.55","47484.80"
"NIFTY BANK","15 Apr 2024","48057.5","48255.5","47725.8","47773.25"
"NIFTY BANK","12 Apr 2024","48671.2","48882.65","48477.55","48564.55"
"NIFTY BANK","10 Apr 2024","48879.55","49057.40","48669.25","48986.60"
"NIFTY BANK","09 Apr 2024","48810.80","48960.75","48568.25","48730.55"
"NIFTY BANK","08 Apr 2024","48586.75","48716.95","48424.65","48581.70"
"NIFTY BANK","05 Apr 2024","48104.65","48557.40","47894.50","48493.05"
"NIFTY BANK","04 Apr 2024","48086.20","48254.65","47712.70","48060.80"
"NIFTY BANK","03 Apr 2024","47350.25","47676.95","47279.80","47624.25"
"NIFTY BANK","02 Apr 2024","47490.75","47707.35","47408.55","47545.45"
"NIFTY BANK","01 Apr 2024","47391.05","47646.80","47373.10","47578.25"
"NIFTY BANK","28 Mar 2024","46827.85","47440.45","46827.85","47124.60"
"NIFTY BANK","27 Mar 2024","46643.45","46956.10","46643.45","46785.95"
"NIFTY BANK","26 Mar 2024","46552.95","46788.35","46529.05","46600.20"
"NIFTY BANK","22 Mar 2024","46634.90","46974.15","46566.80","46863.75"
"NIFTY BANK","21 Mar 2024","46674.85","46990.25","46570.15","46684.90"
"NIFTY BANK","20 Mar 2024","46392.90","46655.55","45828.80","46310.90"
"NIFTY BANK","19 Mar 2024","46421.90","46602.35","46258.75","46384.80"
"NIFTY BANK","18 Mar 2024","46458.75","46739.25","46022.15","46575.90"
